long,lat,id,group,Cod.Dep,Departamento,Tipo,F,M,Casos,rango
-72.3544083,0.93506967,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.3544083,0.93506967,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.3544083,0.93506967,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.39160006,0.91909029,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.39160006,0.91909029,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.39160006,0.91909029,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.37702238,0.96020681,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.37702238,0.96020681,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.37702238,0.96020681,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.40046512,0.96736287,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.40046512,0.96736287,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.40046512,0.96736287,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.41047863,0.98681951,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.41047863,0.98681951,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.41047863,0.98681951,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.39946046,1.00393387,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.39946046,1.00393387,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.39946046,1.00393387,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.45568192,1.07986369,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.45568192,1.07986369,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.45568192,1.07986369,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.51091669,1.06801118,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.51091669,1.06801118,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.51091669,1.06801118,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.62257069,1.13624924,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.62257069,1.13624924,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.62257069,1.13624924,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.64990279,1.18181444,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.64990279,1.18181444,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.64990279,1.18181444,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.66219872,1.15079357,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.66219872,1.15079357,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.66219872,1.15079357,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.72585651,1.18610046,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.72585651,1.18610046,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.72585651,1.18610046,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.72276496,1.14959911,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.72276496,1.14959911,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.72276496,1.14959911,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.73874967,1.15110975,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.73874967,1.15110975,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.73874967,1.15110975,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.74960522,1.12883655,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.74960522,1.12883655,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.74960522,1.12883655,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.77802638,1.14787768,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
